mean,var,temp
9.804163,0.000203,33.77118
9.798886,0.000156,33.77735
9.791945,0.000286,33.78353
9.796706,0.000267,33.78265
9.798479,0.000157,33.79206
9.797966,0.000365,33.77735
9.800557,0.000269,33.78912
9.798048,0.000226,33.79912
9.81098,0.001073,33.79735
9.799823,0.000142,33.79441
9.800154,0.00015,33.7953
9.798471,0.00035,33.78647
9.791943,0.000119,33.78912
9.794765,0.00025,33.77588
9.801364,5.5e-05,33.78059
9.799922,0.000142,33.76765
9.80299,0.000426,33.77823
9.803916,0.000155,33.7747
9.801383,0.000305,33.77323
9.801815,0.000215,33.77177
9.801678,0.000188,33.76765
9.801802,0.000265,33.77588
9.798487,0.000138,33.77911
9.807907,0.000383,33.76912
9.805126,0.000148,33.76294
9.796595,0.000118,33.77177
9.805014,0.000148,33.76324
9.797275,0.000128,33.76824
9.741672,0.002824,32.43382
9.801076,0.000495,32.9103
9.799246,0.000196,33.06441
9.79215,0.000116,33.12442
9.795699,8.7e-05,33.16618
9.801448,0.000167,33.1997
9.793955,0.000215,33.22059
9.796728,0.000117,33.24088
9.79374,0.000213,33.255
9.793925,0.000262,33.26882
9.799641,0.000224,33.28412
9.798204,0.000612,33.28941
9.797377,0.000141,33.31147
9.796504,0.000134,33.31676
9.793927,0.000176,33.31588
9.794698,0.000117,33.32412
9.799143,0.000157,33.34235
9.787564,0.000147,33.35323
9.799472,0.000149,33.35765
9.805433,0.00029,33.36147
9.797132,0.002977,33.37412
9.767391,0.0014,33.38147
9.800225,0.000177,33.39471
9.794146,0.000239,33.40089
9.797375,0.000153,33.40236
9.789415,0.000129,33.40736
9.801582,9.3e-05,33.41529
9.785518,0.000191,33.41941
9.796267,0.000261,33.41912
9.799521,0.000166,33.42588
9.78773,0.000338,33.42294
9.79337,0.00023,33.4397
9.798286,0.000144,33.43559
9.791804,0.000234,33.43912
9.796115,0.000196,33.44176
9.79653,0.000729,33.44588
9.792063,0.000252,33.455
9.801908,0.000377,33.45676
9.801318,0.000498,33.4553
9.79297,0.000377,33.46412
9.793735,0.000143,33.46059
9.791838,0.000337,33.46676
9.794915,0.00021,33.47059
9.798463,0.000198,33.47941
9.794816,0.000109,33.485
9.792475,0.000151,33.48147
9.801085,0.000214,33.47529
9.791647,0.000152,33.47823
9.794032,5.5e-05,33.48647
9.794325,0.000671,33.48029
9.789029,0.000198,33.48677
9.77199,0.000624,33.47529
9.809873,0.000343,33.48206
9.788275,0.000962,33.48647
9.776942,0.001009,33.48235
9.798107,0.000252,33.48294
9.793219,0.000133,33.49647
9.810625,0.000773,33.49265
9.821832,0.002515,33.50264
9.792855,0.000115,33.50412
9.795003,0.000283,33.50088
9.78802,0.00027,33.50882
9.796696,0.000516,33.50882
9.772484,0.001515,33.50676
9.796796,0.000829,33.51147
9.80513,0.000152,33.51853
9.798579,0.000773,33.51941
9.787573,0.000377,33.51941
9.795924,0.000752,33.515
9.808474,0.000422,33.51912
9.794166,0.000367,33.52265
9.791498,0.000328,33.52882
9.793857,0.00016,33.52706
9.802463,0.000215,33.53
9.79218,0.000352,33.54235
9.792075,0.000465,33.54911
9.802111,0.000313,33.55177
9.799754,0.000321,33.56206
9.790956,0.00032,33.56529
9.800332,5.3e-05,33.56147
9.795964,0.000364,33.57088
9.785028,0.000228,33.57059
9.796177,0.000575,33.56059
9.801362,0.000159,33.565
9.802139,0.000878,33.56118
9.799014,0.000161,33.56823
9.800992,0.000269,33.58176
9.78845,0.00022,33.58206
9.78866,0.000475,33.57441
9.788551,0.000285,33.57382
9.797651,0.000105,33.58412
9.784149,0.000281,33.58353
9.796404,0.000174,33.57883
9.821492,0.011805,33.5853
9.797077,0.000571,33.575
9.800229,0.000448,33.58
9.803511,0.000318,33.58883
9.795409,0.000223,33.59029
9.800611,0.00015,33.58706
9.798158,0.000144,33.5953
9.800844,0.000175,33.6
9.796485,0.000261,33.60559
9.786028,0.000205,33.60853
9.800688,0.000199,33.6253
9.807149,0.001102,33.61147
9.794531,0.000409,33.61618
9.799306,0.000232,33.61824
9.800516,0.000112,33.60647
9.795775,4e-05,33.615
9.790192,0.000311,33.61176
9.782061,0.000602,33.61942
9.799328,0.000243,33.61088
9.792845,0.000185,33.62794
9.7968,0.000216,33.61823
9.793952,0.000178,33.62971
9.793482,0.000197,33.63706
9.798684,0.000293,33.64235
9.799173,0.000147,33.63677
9.793158,0.00024,33.63765
9.792969,0.000213,33.63853
9.789502,0.001292,33.6403
9.782042,0.000434,33.64383
9.804333,0.00012,33.64118
9.793933,6.9e-05,33.63706
9.79404,0.000355,33.63412
9.789737,0.000545,33.63235
9.80059,8.7e-05,33.63735
9.793907,0.000276,33.62853
9.789032,0.000479,33.63147
9.794706,0.000267,33.63353
9.78642,0.000213,33.63117
9.798173,0.000363,33.64588
9.801132,0.00014,33.65441
9.79146,0.000438,33.65588
9.798883,0.000167,33.64147
9.798269,7.6e-05,33.64823
9.794922,0.000378,33.63647
9.797581,0.000148,33.64294
9.793618,0.000329,33.63794
9.800925,0.000332,33.63912
9.792444,0.00013,33.64
9.798214,0.000107,33.63677
9.803232,0.000117,33.64
9.789474,0.000234,33.64118
9.799233,8.1e-05,33.64706
9.806259,0.000491,33.655
